label,url_length,num_dots,num_hyphen,num_slashes,https,subdomains,has_at_symbol,has_double_slash,has_ip,num_underscores,num_percent,num_digits,num_query_params,has_query,path_depth,suspicious_tld,brand_in_url,is_shortened,suspicious_word_count,url_entropy,hostname_length,digit_letter_ratio,num_special_chars,tld_in_path,longest_digit_run,uses_free_hosting,brand_on_free_hosting,brand_domain_mismatch,text_length,token_count,scam_keyword_count,scam_keyword_density,exclamation_count,caps_ratio,avg_word_length
0,48,2,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4.4626,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,22,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0615,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,28,3,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.682,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,34,2,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8222,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,175,2,2,7,1,1,0,0,0,3,0,17,3,1,5,0,1,0,0,5.5519,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,44,2,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3.9734,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,26,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7193,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,26,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.921,10,0.0,0,0,0,0,0,0,215,22,0,0.0,0,0.0287,6.045
0,42,3,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4.3117,17,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,32,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.921,24,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,20,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6842,12,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,39,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1311,30,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
0,35,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4.229,11,0.0,1,0,0,0,0,0,216,22,0,0.0,0,0.0286,6.091
0,30,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3.9899,11,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,23,2,0,3,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3.969,8,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,33,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.995,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,34,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0575,25,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
1,78,1,3,3,1,0,0,0,0,0,0,4,1,1,1,0,0,0,2,4.549,34,0.0,1,0,0,0,0,0,238,25,2,0.08,1,0.0561,6.4
1,54,2,0,3,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,4.9072,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,34,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0545,25,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
1,84,2,0,6,1,1,0,0,0,1,0,9,0,0,4,0,1,0,0,5.1064,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,43,3,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.1581,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,25,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4529,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,28,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8518,19,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
